date,time,from,to,open,high,low,close,return_oc,range_pct
2026-03-27,1774569600000,CL,USD,92.22955,99.9294,91.52728,99.7904,0.08197860663962908,0.09110008668588317
2026-03-29,1774742400000,CL,USD,101.42662,101.77686,100.66002,101.52827,0.0010022023804007907,0.011011310442958626
2026-03-30,1774828800000,CL,USD,101.53327,105.02878,98.74536,104.41778,0.028409505573887175,0.06188533078861729
2026-03-31,1774915200000,CL,USD,104.41278,104.7024,96.7875,97.7775,-0.06354854262093199,0.07580393894310641
2026-04-01,1775001600000,CL,USD,97.7775,100.49639,93.4925,94.5375,-0.03313645777402786,0.07163089667868373
2026-04-02,1775088000000,CL,USD,94.5575,106.1375,93.23375000000001,104.87625,0.10912672183591987,0.13646458504084802
2026-04-05,1775347200000,CL,USD,106.53,107.07,105.12,106.2325,-0.0027926405707312443,0.018304702900591274
2026-04-06,1775433600000,CL,USD,106.22,106.2225,101.3125,104.6525,-0.014757107889286344,0.0462248164187535
2026-04-07,1775520000000,CL,USD,104.6525,107.305,86.5025,90.815,-0.1322233104799217,0.19877690451733124
2026-04-08,1775606400000,CL,USD,90.94,92.70875,86.56125,92.255,0.014460083571585637,0.067599516164504
2026-04-09,1775692800000,CL,USD,92.255,95.7575,90.28875,92.7875,0.005772044875616486,0.059278629884559106
2026-04-10,1775779200000,CL,USD,92.7875,94.035,90.4925,90.6075,-0.023494543984911683,0.038178633975481505
2026-04-12,1775952000000,CL,USD,97.70167,98.772,97.11417,97.97567,0.002804455645435753,0.016968287236031936
2026-04-13,1776038400000,CL,USD,97.968,98.215,91.4465,91.894,-0.06199983668136532,0.06908888616691167
2026-04-14,1776124800000,CL,USD,91.894,93.562,85.07,87.86383,-0.04385672622804549,0.09241082116351453
2026-04-15,1776211200000,CL,USD,87.86633,90.82417,87.68816999999999,88.02033,0.0017526622541307502,0.035690576811390776
2026-04-16,1776297600000,CL,USD,88.01533,92.11233000000001,87.66967,90.25,0.02538955429696161,0.050475979582193437
2026-04-17,1776384000000,CL,USD,90.25,90.55433,79.06733,83.6945,-0.07263711911357335,0.12727977839335175
2026-04-19,1776556800000,CL,USD,87.72433,88.57133,87.287,88.52033,0.00907387950412396,0.014640522190366084
2026-04-20,1776643200000,CL,USD,88.52282999999998,88.73733000000001,85.40567000000001,86.04333,-0.02800972359333731,0.037636166850969405
2026-04-21,1776729600000,CL,USD,86.04333,91.95567,85.51366,90.15,0.0477279296373119,0.07486937104828459
2026-04-22,1776816000000,CL,USD,90.15033,93.23132999999999,87.35617,92.14367000000001,0.022111288999164147,0.06517069876505144
2026-04-23,1776902400000,CL,USD,92.1455,97.60467,91.772,95.90533,0.040803186265200235,0.06329847903587255
2026-04-24,1776988800000,CL,USD,95.90533,96.85867,91.89383,93.912,-0.020784350567377225,0.05176813426323656
2026-04-26,1777161600000,CL,USD,95.049,95.311,94.645,94.806,-0.0025565760818105315,0.007006912224221307
2026-04-27,1777248000000,CL,USD,94.806,96.25417,93.27367,95.17267,0.003867582220534557,0.03143788367824828
2026-04-28,1777334400000,CL,USD,95.16133,99.99867,94.786,97.57067,0.02531847757907545,0.054777187330189714
2026-04-29,1777420800000,CL,USD,97.57067,106.15817,96.68216999999999,105.34867,0.07971657876285969,0.09711934949303938
2026-04-30,1777507200000,CL,USD,105.34867,108.11933,101.043,103.20567,-0.020341974891567218,0.06717056798154167
2026-05-01,1777593600000,CL,USD,103.20367,104.09732999999999,97.15133,100.12017,-0.029877813453726993,0.06730380809132062
2026-05-03,1777766400000,CL,USD,97.62067,99.077,97.47733,99.03767,0.01451536851775348,0.01638659107748393
2026-05-04,1777852800000,CL,USD,99.03782999999999,104.29633,97.49633000000001,102.43033,0.03425458736323295,0.06866063200294255
2026-05-05,1777939200000,CL,USD,102.4325,102.79533,96.86483,97.38166999999999,-0.04930886193346856,0.0578966636565544
2026-05-06,1778025600000,CL,USD,97.38667,98.837,87.17933,93.31134,-0.041846897527146105,0.11970498631896964
2026-05-07,1778112000000,CL,USD,93.317,95.32233,87.91467000000002,94.212,0.0095909641330091,0.07938167750784937
2026-05-08,1778198400000,CL,USD,94.212,94.5,91.413,92.32533,-0.02002579289262524,0.032766526557126516
2026-05-10,1778371200000,CL,USD,95.08867,96.071,94.83367,96.036,0.009962595964377334,0.013012380970309082
2026-05-11,1778457600000,CL,USD,96.036,97.211,93.60167,95.40233,-0.0065982548211087,0.03758309383981007
